match,item?,attributes
NORM_CAUCHY_SCHWARZ_ABS,1,"dot,NORM_CAUCHY_SCHWARZ,DOT_RNEG,NORM_NEG,"
REAL_ABS_NORM,1,"NORM_POS_LE,"
NORM_CAUCHY_SCHWARZ_DIV,1,"dot,vec,vec,NORM_0,DOT_LZERO,DOT_RZERO,NORM_POS_LT,REAL_ABS_NORM,NORM_CAUCHY_SCHWARZ_ABS,"
NORM_TRIANGLE,1,"vector_norm,REAL_LE_LSQRT,vector_norm,DOT_POS_LE,NORM_POS_LE,DOT_LADD,DOT_RADD,NORM_POW_2,NORM_CAUCHY_SCHWARZ,DOT_SYM,"
NORM_TRIANGLE_SUB,1,"NORM_TRIANGLE,VECTOR_SUB_ADD2,"
NORM_TRIANGLE_LE,1,"NORM_TRIANGLE,"
NORM_TRIANGLE_LT,1,"NORM_TRIANGLE,"
COMPONENT_LE_NORM,1,"vector_norm,REAL_LE_RSQRT,dot,"
NORM_BOUND_COMPONENT_LE,1,"COMPONENT_LE_NORM,"
NORM_BOUND_COMPONENT_LT,1,"COMPONENT_LE_NORM,"
NORM_LE_L1,1,"vector_norm,dot,REAL_LE_LSQRT,"
REAL_ABS_SUB_NORM,1,"NORM_TRIANGLE_SUB,NORM_SUB,"
NORM_LE,1,"dot,dot,vector_norm,SQRT_MONO_LE_EQ,DOT_POS_LE,"
NORM_LT,1,"dot,dot,vector_norm,SQRT_MONO_LT_EQ,DOT_POS_LE,"
NORM_EQ,1,"dot,dot,NORM_LE,"
NORM_EQ_1,1,"dot,vector_norm,SQRT_INJ,DOT_POS_LE,"
NORM_LE_COMPONENTWISE,1,"NORM_LE,dot,"
DOT_SQUARE_NORM,1,"dot,vector_norm,SQRT_POW_2,DOT_POS_LE,"
NORM_EQ_SQUARE,1,"dot,DOT_SQUARE_NORM,NORM_POS_LE,"
NORM_LE_SQUARE,1,"dot,DOT_SQUARE_NORM,NORM_POS_LE,"
NORM_GE_SQUARE,1,"dot,DOT_SQUARE_NORM,NORM_POS_LE,"
NORM_LT_SQUARE,1,"dot,NORM_GE_SQUARE,"
NORM_GT_SQUARE,1,"dot,NORM_LE_SQUARE,"
NORM_LT_SQUARE_ALT,1,"dot,NORM_GE_SQUARE,DOT_POS_LE,"
DOT_NORM,1,"dot,NORM_POW_2,DOT_LADD,DOT_RADD,DOT_SYM,"
DOT_NORM_NEG,1,"dot,NORM_POW_2,DOT_LADD,DOT_RADD,DOT_LSUB,DOT_RSUB,DOT_SYM,"
DOT_NORM_SUB,1,"dot,NORM_POW_2,DOT_LSUB,DOT_RSUB,DOT_SYM,"
VECTOR_EQ,1,"dot,dot,dot,dot,VECTOR_SUB_EQ,DOT_EQ_0,DOT_LSUB,DOT_RSUB,DOT_SYM,"
DIST_REFL,1,"dist,"
DIST_SYM,1,"dist,dist,"
DIST_POS_LE,1,"dist,"
DIST_TRIANGLE,1,"dist,dist,dist,"
DIST_TRIANGLE_ALT,1,"dist,dist,dist,"
DIST_EQ_0,1,"dist,"
DIST_POS_LT,1,"dist,"
DIST_NZ,1,"dist,"
DIST_TRIANGLE_LE,1,"dist,dist,dist,"
DIST_TRIANGLE_LT,1,"dist,dist,dist,"
DIST_TRIANGLE_HALF_L,1,"dist,dist,dist,"
DIST_TRIANGLE_HALF_R,1,"dist,dist,dist,"
DIST_TRIANGLE_ADD,1,"dist,dist,dist,"
DIST_MUL,1,"dist,dist,dist,VECTOR_SUB_LDISTRIB,NORM_MUL,"
DIST_TRIANGLE_ADD_HALF,1,"dist,dist,dist,"
DIST_LE_0,1,"dist,"
DIST_EQ,1,"dist,dist,dist,dist,dist,NORM_POW_2,NORM_EQ,"
DIST_0,1,"dist,vec,dist,vec,"
NEUTRAL_VECTOR_ADD,1,"vec,vec,vec,"
MONOIDAL_VECTOR_ADD,1,"NEUTRAL_VECTOR_ADD,"
vsum,0,""
VSUM_CLAUSES,1,"vsum,vec,vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VEC_COMPONENT,VECTOR_ADD_COMPONENT,"
VSUM,1,"vsum,VSUM_CLAUSES,MONOIDAL_VECTOR_ADD,NEUTRAL_VECTOR_ADD,"
VSUM_EQ_0,1,"vec,vsum,vec,vsum,vec,"
VSUM_0,1,"vsum,vec,vec,VSUM_EQ_0,"
VSUM_LMUL,1,"vsum,vsum,vsum,VECTOR_MUL_COMPONENT,"
VSUM_RMUL,1,"vsum,vsum,VECTOR_MUL_COMPONENT,"
VSUM_ADD,1,"vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,"
VSUM_SUB,1,"vsum,vsum,vsum,vsum,VECTOR_SUB_COMPONENT,"
VSUM_CONST,1,"vsum,vsum,VECTOR_MUL_COMPONENT,"
VSUM_COMPONENT,1,"vsum,vsum,"
VSUM_IMAGE,1,"vsum,vsum,vsum,"
VSUM_UNION,1,"vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,"
VSUM_DIFF,1,"vsum,vsum,vsum,vsum,VECTOR_SUB_COMPONENT,"
VSUM_DELETE,1,"vsum,vsum,vsum,VECTOR_SUB_COMPONENT,"
VSUM_INCL_EXCL,1,"vsum,vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,"
VSUM_NEG,1,"vsum,vsum,vsum,VECTOR_NEG_COMPONENT,"
VSUM_EQ,1,"vsum,vsum,vsum,"
VSUM_SUPERSET,1,"vec,vsum,vsum,vsum,VEC_COMPONENT,"
VSUM_EQ_SUPERSET,1,"vec,vsum,vsum,VSUM_SUPERSET,VSUM_EQ,"
VSUM_UNION_RZERO,1,"vec,vsum,vsum,vsum,VEC_COMPONENT,"
VSUM_UNION_LZERO,1,"vec,vsum,vsum,VSUM_UNION_RZERO,"
VSUM_RESTRICT,1,"vsum,vec,vsum,VSUM_EQ,"
VSUM_RESTRICT_SET,1,"vsum,vsum,vec,vsum,VEC_COMPONENT,COND_COMPONENT,"
VSUM_CASES,1,"vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,COND_COMPONENT,"
VSUM_SING,1,"vsum,VSUM_CLAUSES,VECTOR_ADD_RID,"
VSUM_NORM,1,"vsum,VSUM_CLAUSES,NORM_0,"
VSUM_NORM_LE,1,"vsum,VSUM_NORM,"
VSUM_NORM_TRIANGLE,1,"vsum,VSUM_NORM,"
VSUM_NORM_BOUND,1,"vsum,VSUM_NORM_LE,"
VSUM_CLAUSES_NUMSEG,1,"vsum,vec,vsum,vsum,vsum,VSUM_SING,VSUM_CLAUSES,VECTOR_ADD_AC,"
VSUM_CLAUSES_RIGHT,1,"vsum,vsum,VSUM_CLAUSES_NUMSEG,"
VSUM_CMUL_NUMSEG,1,"vsum,vsum,VSUM_LMUL,"
VSUM_EQ_NUMSEG,1,"vsum,vsum,VSUM_EQ,"
VSUM_IMAGE_GEN,1,"vsum,vsum,vsum,vsum,"
VSUM_GROUP,1,"vsum,vsum,vsum,vsum,"
VSUM_VMUL,1,"vsum,VSUM_CLAUSES,VECTOR_ADD_RDISTRIB,"
VSUM_DELTA,1,"vsum,vec,vec,VSUM_COMPONENT,COND_COMPONENT,VEC_COMPONENT,"
VSUM_ADD_NUMSEG,1,"vsum,vsum,vsum,VSUM_ADD,"
VSUM_SUB_NUMSEG,1,"vsum,vsum,vsum,VSUM_SUB,"
VSUM_ADD_SPLIT,1,"vsum,vsum,vsum,VSUM_COMPONENT,VECTOR_ADD_COMPONENT,"
VSUM_VSUM_PRODUCT,1,"vsum,vsum,vsum,VSUM_COMPONENT,COND_COMPONENT,"
VSUM_IMAGE_NONZERO,1,"vec,vsum,vsum,VSUM_CLAUSES,vsum,vsum,vec,"
VSUM_UNION_NONZERO,1,"vec,vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VEC_COMPONENT,"
VSUM_UNIONS_NONZERO,1,"vec,vsum,vsum,vsum,VSUM_CLAUSES,VSUM_CLAUSES,VSUM_UNION_NONZERO,"
VSUM_CLAUSES_LEFT,1,"vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VEC_COMPONENT,"
VSUM_DIFFS,1,"vsum,vec,VSUM_CLAUSES_NUMSEG,VECTOR_ADD_LID,"
VSUM_DIFFS_ALT,1,"vsum,vec,VECTOR_NEG_SUB,VSUM_NEG,VSUM_DIFFS,VECTOR_NEG_SUB,VECTOR_NEG_0,"
VSUM_DELETE_CASES,1,"vsum,vsum,vsum,VSUM_CLAUSES,"
VSUM_EQ_GENERAL,1,"vsum,vsum,vsum,"
VSUM_EQ_GENERAL_INVERSES,1,"vsum,vsum,vsum,"
VSUM_NORM_ALLSUBSETS_BOUND,1,"vsum,NORM_LE_L1,VSUM_COMPONENT,vsum,vsum,vsum,vsum,COMPONENT_LE_NORM,"
DOT_LSUM,1,"vsum,dot,dot,VSUM_CLAUSES,DOT_LZERO,DOT_LADD,"
DOT_RSUM,1,"dot,vsum,dot,VSUM_CLAUSES,DOT_RZERO,DOT_RADD,"
VSUM_OFFSET,1,"vsum,vsum,vsum,VEC_COMPONENT,"
VSUM_OFFSET_0,1,"vsum,vsum,vsum,VEC_COMPONENT,"
VSUM_TRIV_NUMSEG,1,"vsum,vec,VSUM_CLAUSES,"
VSUM_CONST_NUMSEG,1,"vsum,VSUM_CONST,"
VSUM_SUC,1,"vsum,vsum,VSUM_IMAGE,"
VSUM_BIJECTION,1,"vsum,vsum,VSUM_EQ_GENERAL,"
VSUM_PARTIAL_SUC,1,"vsum,vsum,vec,VSUM_TRIV_NUMSEG,VSUM_CLAUSES_NUMSEG,VSUM_TRIV_NUMSEG,"
VSUM_PARTIAL_PRE,1,"vsum,vsum,vec,VSUM_PARTIAL_SUC,"
VSUM_COMBINE_L,1,"vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VSUM_COMPONENT,"
VSUM_COMBINE_R,1,"vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VSUM_COMPONENT,"
VSUM_INJECTION,1,"vsum,vsum,VSUM_COMPONENT,"
VSUM_SWAP,1,"vsum,vsum,vsum,vsum,VSUM_COMPONENT,"
VSUM_SWAP_NUMSEG,1,"vsum,vsum,vsum,vsum,VSUM_SWAP,"
VSUM_ADD_GEN,1,"vec,vec,vsum,vsum,vsum,vsum,VECTOR_ADD_COMPONENT,VEC_COMPONENT,"
VSUM_CASES_1,1,"vsum,vsum,VSUM_CASES,VSUM_DELETE,VSUM_SING,"
VSUM_SING_NUMSEG,1,"vsum,VSUM_SING,"
VSUM_1,1,"vsum,VSUM_SING_NUMSEG,"
VSUM_2,1,"vsum,VSUM_CLAUSES_NUMSEG,VSUM_SING_NUMSEG,"
VSUM_3,1,"vsum,VSUM_CLAUSES_NUMSEG,VSUM_SING_NUMSEG,VECTOR_ADD_ASSOC,"
VSUM_PAIR,1,"vsum,vsum,VSUM_COMPONENT,VECTOR_ADD_COMPONENT,"
VSUM_PAIR_0,1,"vsum,vsum,VSUM_PAIR,"
basis,0,""
NORM_BASIS,1,"basis,basis,dot,vector_norm,"
NORM_BASIS_1,1,"basis,NORM_BASIS,"
VECTOR_CHOOSE_SIZE,1,"basis,NORM_MUL,NORM_BASIS_1,"
VECTOR_CHOOSE_DIST,1,"dist,VECTOR_CHOOSE_SIZE,dist,"
BASIS_INJ,1,"basis,basis,basis,"
BASIS_NE,1,"basis,basis,BASIS_INJ,"
BASIS_COMPONENT,1,"basis,basis,"
BASIS_EXPANSION,1,"vsum,basis,VSUM_COMPONENT,VECTOR_MUL_COMPONENT,BASIS_COMPONENT,"
BASIS_EXPANSION_UNIQUE,1,"vsum,basis,VSUM_COMPONENT,VECTOR_MUL_COMPONENT,BASIS_COMPONENT,"
DOT_BASIS,1,"basis,dot,dot,basis,dot,basis,"
DOT_BASIS_BASIS,1,"basis,dot,basis,DOT_BASIS,BASIS_COMPONENT,"
DOT_BASIS_BASIS_UNEQUAL,1,"basis,dot,basis,basis,dot,"
BASIS_EQ_0,1,"basis,vec,BASIS_COMPONENT,VEC_COMPONENT,"
BASIS_NONZERO,1,"basis,vec,BASIS_EQ_0,"
VECTOR_EQ_LDOT,1,"dot,dot,DOT_BASIS,"
VECTOR_EQ_RDOT,1,"dot,dot,DOT_BASIS,"
orthogonal,0,""
ORTHOGONAL_0,1,"orthogonal,vec,orthogonal,vec,orthogonal,DOT_LZERO,DOT_RZERO,"
ORTHOGONAL_REFL,1,"orthogonal,vec,orthogonal,DOT_EQ_0,"
ORTHOGONAL_SYM,1,"orthogonal,orthogonal,orthogonal,DOT_SYM,"
ORTHOGONAL_LNEG,1,"orthogonal,orthogonal,orthogonal,DOT_LNEG,"
ORTHOGONAL_RNEG,1,"orthogonal,orthogonal,orthogonal,DOT_RNEG,"
ORTHOGONAL_BASIS,1,"orthogonal,basis,orthogonal,dot,basis,"
ORTHOGONAL_BASIS_BASIS,1,"orthogonal,basis,basis,ORTHOGONAL_BASIS,BASIS_COMPONENT,"
ORTHOGONAL_CLAUSES,1,"orthogonal,vec,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,vec,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,DOT_RNEG,DOT_RMUL,DOT_RADD,DOT_RSUB,DOT_LZERO,DOT_RZERO,DOT_LNEG,DOT_LMUL,DOT_LADD,DOT_LSUB,"
ORTHOGONAL_RVSUM,1,"orthogonal,orthogonal,vsum,ORTHOGONAL_CLAUSES,VSUM_CLAUSES,"
ORTHOGONAL_LVSUM,1,"orthogonal,orthogonal,vsum,ORTHOGONAL_CLAUSES,VSUM_CLAUSES,"
VECTOR_1,1,""
VECTOR_2,1,""
VECTOR_3,1,""
FORALL_VECTOR_1,1,"FORALL_1,VECTOR_1,"
FORALL_VECTOR_2,1,"FORALL_2,VECTOR_2,"
FORALL_VECTOR_3,1,"FORALL_3,VECTOR_3,"
EXISTS_VECTOR_1,1,"FORALL_VECTOR_1,"
EXISTS_VECTOR_2,1,"FORALL_VECTOR_2,"
EXISTS_VECTOR_3,1,"FORALL_VECTOR_3,"
linear,0,""
LINEAR_COMPOSE_CMUL,1,"linear,linear,linear,"
LINEAR_COMPOSE_NEG,1,"linear,linear,linear,"
LINEAR_COMPOSE_ADD,1,"linear,linear,linear,linear,"
LINEAR_COMPOSE_SUB,1,"linear,linear,linear,linear,"
LINEAR_COMPOSE,1,"linear,linear,linear,linear,"
LINEAR_ID,1,"linear,linear,"
LINEAR_I,1,"linear,LINEAR_ID,"
LINEAR_ZERO,1,"linear,vec,linear,"
LINEAR_NEGATION,1,"linear,linear,"
LINEAR_COMPOSE_VSUM,1,"linear,linear,vsum,VSUM_CLAUSES,LINEAR_ZERO,LINEAR_COMPOSE_ADD,"
LINEAR_VMUL_COMPONENT,1,"linear,linear,linear,VECTOR_ADD_COMPONENT,VECTOR_MUL_COMPONENT,"
LINEAR_0,1,"linear,vec,vec,VECTOR_MUL_LZERO,linear,"
LINEAR_CMUL,1,"linear,linear,"
LINEAR_NEG,1,"linear,VECTOR_NEG_MINUS1,LINEAR_CMUL,"
LINEAR_ADD,1,"linear,linear,"
LINEAR_SUB,1,"linear,VECTOR_SUB,LINEAR_ADD,LINEAR_NEG,"
LINEAR_VSUM,1,"linear,vsum,vsum,VSUM_CLAUSES,LINEAR_0,LINEAR_ADD,"
LINEAR_VSUM_MUL,1,"linear,vsum,vsum,LINEAR_VSUM,LINEAR_CMUL,"
